id,label,video_vf,video_vo,serie_id
0,Full-Episode's Movie,,https://www.youtube.com/embed/IM_Q_mp4XUI,1
2,Episode 1,https://www.dailymotion.com/embed/video/xcanft,https://www.youtube.com/embed/LLx7umKCc1M,1
3,Episode 2,https://www.dailymotion.com/embed/video/xccbw0,https://www.youtube.com/embed/vP7zbL7dAjs,1
4,Episode 3,https://www.dailymotion.com/embed/video/xfl32y,https://www.youtube.com/embed/bTpzs-wMD3w,1
5,Episode 4,https://www.dailymotion.com/embed/video/xfl4yt,https://www.youtube.com/embed/Gqn5iG0nb44,1
6,Episode 5,https://www.dailymotion.com/embed/video/xfl35c,https://www.youtube.com/embed/cv3GHebJ1iU,1
7,Episode 6,https://www.dailymotion.com/embed/video/xq7385,https://www.youtube.com/embed/0s7lXk9VcEQ,1
8,Episode 7,https://www.dailymotion.com/embed/video/xc7eml,https://www.youtube.com/embed/z49ZHAH0Whk,1
9,Episode 8,https://www.dailymotion.com/embed/video/xfl339,https://www.youtube.com/embed/cPkVOqa0DXM,1
10,Full-Episode's Movie,https://www.youtube.com/embed/XR--B2o56KI,https://www.youtube.com/embed/nOkBW-e3N4M,2
11,Episode 1,,https://www.youtube.com/embed/d66NOXhwfoI,2
12,Episode 2,,https://www.youtube.com/embed/7rhsDEQCCQo,2
13,Episode 3,,https://www.youtube.com/embed/MjeuGEoQrnE,2
14,Episode 4,,https://www.youtube.com/embed/qd5P3AYcpaw,2
15,Episode 5,,https://www.youtube.com/embed/hXW-gr9WqjE,2
16,Episode 6,,https://www.youtube.com/embed/rXIOXI9GD58,2
17,Episode 7,,https://www.youtube.com/embed/aXfqviWaodA,2
18,Episode 8,,https://www.youtube.com/embed/4h5T-GoTHvU,2
19,Episode 9,,https://www.youtube.com/embed/Ts1GFHHBRpU,2
20,Episode 10,,https://www.youtube.com/embed/rWg_tun0CBw,2
21,Episode 11,,https://www.youtube.com/embed/8uVjcX8cupg,2
22,Episode 1,https://www.dailymotion.com/embed/video/x2c314s,https://www.dailymotion.com/embed/video/x3nh2fp,3
23,Episode 2,https://www.dailymotion.com/embed/video/x2c6f5r,,3
24,Episode 3,https://www.dailymotion.com/embed/video/x2cf56f,,3
25,Episode 4,https://www.dailymotion.com/embed/video/x2ci0nd,,3
26,Episode 5,https://www.dailymotion.com/embed/video/x2d02p5,,3
