id,label,video,trailer_id
1,Halo Infinite - E3 2019 - Discover Hope,https://www.youtube.com/embed/ogGAbjpgDYY,11
2,"Halo Infinite - E3 2018 - Announcement Trailer
",https://www.youtube.com/embed/Fmdb-KmlzD8,11
3,HALO 6: INFINITE Trailer 2 (2020) E3,https://www.youtube.com/embed/farrIIzDW2s,11
4,Halo - Trailer - E3 2002 - Xbox,https://www.youtube.com/embed/AEVz0KyQDt8,2
5,Halo 101: The Secret Below Planet Harvest,https://www.youtube.com/embed/yBFBaCyvNZM,14
6,Halo 101: The Forerunner Fleet,https://www.youtube.com/embed/sabikoL0pS8,14
7,Halo 101: The Shield World,https://www.youtube.com/embed/BURjcCMMWrc,14
8,Halo 101: Lost With All Hands,https://www.youtube.com/embed/J37lUnCYjvw,14
9,Halo 101: The Battle for Arcadia,https://www.youtube.com/embed/dBpnVngCeu8,14
10,Halo: Rise of Atriox Comic Mini-series Teaser,https://www.youtube.com/embed/KtjuvTlfZpI,14
11,Now Available on Netflix: Halo Legends,https://www.youtube.com/embed/bGmQDIaB2CI,12
12,Halo Nightfall In Cinema First Look,https://www.youtube.com/embed/9MR2rN198zw,13
13,Headhunters Motion Comic Trailer,https://www.youtube.com/embed/AbB1l-uLz_g,14
14,"Halo: Nightfall Episode 3 ""Lifeboat Rules"" Teaser",https://www.youtube.com/embed/izvKB7dZQ7k,13
15,"Halo Nightfall Episode 5: ""Devil Take the Hindmost"" Teaser Trailer",https://www.youtube.com/embed/ffLTvjQk0s8,13
16,Halo: The Fall of Reach – The Animated Series - SDCC Trailer,https://www.youtube.com/embed/9eOZpq6T0Sg,1
17,Halo: Combat Evolved Anniversary Trailer (E3 2011),https://www.youtube.com/embed/U95yDEhEUl8,2
18,Halo: Anniversary Trailer,https://www.youtube.com/embed/F1J3z_2Uep8,2
19,Halo 2 Anniversary Cinematic Launch Trailer [Official],https://www.youtube.com/embed/7_64VHqDHQQ,3
20,Halo: Anniversary Exclusive,https://www.youtube.com/embed/riJUuSq4MZ4,2
21,BTS: Anniversary Campaign,https://www.youtube.com/embed/1ROZDEdi1Sg,2
22,Halo : Reach | Remember Reach trailer - long version XBox 360,https://www.youtube.com/embed/18-_9E0HNY4,1
23,Echoes of Heroes | Master Chief Collection – Halo: Reach,https://www.youtube.com/embed/0CWG6_BKEo0,1
24,Halo: Fireteam Raven Arcade Experience Reveal Trailer,https://www.youtube.com/embed/flGRWr1nrqo,14
25,Halo Wars: Definitive Edition Stand-Alone Trailer,https://www.youtube.com/embed/UK0yIgmqoOA,0
26,Halo 5 Xbox One X Enhanced Trailer,https://www.youtube.com/embed/SHsWS9nxwPA,8
27,Halo 5: Launch Gameplay Trailer,https://www.youtube.com/embed/Rh_NXwqFvHc,8
28,Classic Helmet REQ Pack Trailer,https://www.youtube.com/embed/F0ICxEPinT0,14
29,Halo 5: Forge Monitor’s Bounty Trailer,https://www.youtube.com/embed/_YUnJdvjAxA,8
30,Halo 5: Forge / Anvil’s Legacy Trailer,https://www.youtube.com/embed/t6cGoWqiMI0,8
31,Halo 5: Guardians Warzone Firefight Trailer,https://www.youtube.com/embed/nf9UKYnugag,8
32,Halo 5: Guardians – Hog Wild REQ Drop Launch Trailer,https://www.youtube.com/embed/0BuRIPhDDIk,8
33,Halo 5: Guardians – Cinema First Look,https://www.youtube.com/embed/Ot06dXm64yc,8
34,Minecraft Halo 5 Trailer (Achievement Hunter Fanimation),https://www.youtube.com/embed/uHB6JWik4KI,8
35,Halo 5: Guardians Spartan Locke Armor Set | 60 | GameStop,https://www.youtube.com/embed/29fUIsRuEZI,8
36,Halo 3 - First Announcement Trailer [HD] - E3 2006,https://www.youtube.com/embed/T9Ezd2FqxAU,5
37,Halo 3 Teaser Trailer 1080p HD Starry Night,https://www.youtube.com/embed/7KTc2aZEaeg,5
38,Halo 4 Master Chief shows his real face,https://www.youtube.com/embed/rBH1fGIje24,6
39,Halo 4: About Being A Machine......,https://www.youtube.com/embed/-wIrPzH8lMM,6
40,Halo 4 Trailer (E3 2011),https://www.youtube.com/embed/Y9iQiHNXgMU,6
41,Halo 3: ODST We Are ODST,https://www.youtube.com/embed/wjamhIPVvnI,4
42,Halo - tribute to UNSC soldiers,https://www.youtube.com/embed/NfDBxE11H7k,14
43,Halo-Centuries,https://www.youtube.com/embed/hWXlL5OHG34,14
44,Halo Wars 2 Atriox Trailer,https://www.youtube.com/embed/Adh46ky_-WI,9
45,Halo Wars 2,https://www.youtube.com/embed/NMiiffLQcvE,9
46, ,https://www.youtube.com/embed/6RHzU9r0t2c,9
